BHID,X,Y,Z,DENSITY,PGE,CU,NI,PT,PD,RH,AU
WW22D0,57648.3,-179861.06,719.8,4.0964,9.4844,0.0316,0.0966,4.3144,4.2273,0.6921,0.2506
WW22D1,57648.21,-179861.03,719.69,3.9944,8.5332,0.0335,0.1056,3.9827,3.7521,0.5713,0.2272
WW22D2,57648.05,-179860.98,719.75,4.0252,5.1961,0.0182,0.0674,2.8967,1.7169,0.4948,0.0877
WW22D3,57647.9,-179860.95,719.82,4.036,7.8334,0.0323,0.0988,3.7267,3.4389,0.4682,0.1995
WW23D0,57667.31,-179403.84,788.17,3.9626,5.9842,0.0101,0.0549,3.4521,1.8604,0.522,0.1497
WW23D1,57667.04,-179403.78,787.68,3.8004,6.1813,0.0086,0.045,3.5183,2.0463,0.4807,0.136
WW23D2,57666.92,-179403.77,788.13,4.0178,5.697,0.008,0.0363,3.0681,1.9921,0.5099,0.1269
WW24D0,56945.69,-179737.66,697.23,3.4222,3.5573,0.0072,0.0438,2.3265,0.8417,0.3362,0.0529
WW24D1,56945.79,-179737.72,696.96,3.5008,3.4667,0.0049,0.0378,2.5355,0.4967,0.3763,0.0582
WW24D2,56945.9,-179737.78,696.9,3.5389,5.0953,0.007,0.0419,2.3305,2.2882,0.3592,0.1175
WW29D0,58716.22,-179610.81,871.53,4.1639,6.6184,0.021,0.1523,3.6088,2.3485,0.5387,0.1225
WW29D1,58716.23,-179610.81,871.49,4.3079,10.4141,0.0324,0.1637,5.5916,3.8191,0.839,0.1644
WW29D2,58716.2,-179610.81,871.56,4.1329,5.9001,0.0148,0.1432,3.8173,1.4879,0.518,0.077
WW30D0,58292.23,-178741.28,939.49,4.2724,6.5554,0.0221,0.1483,4.0584,1.8188,0.6019,0.0762
WW30D1,58292.14,-178741.2,939.4,4.3177,6.1623,0.0191,0.1439,3.7265,1.8293,0.5126,0.0939
WW30D2,58292.04,-178741.11,939.76,4.3816,8.7202,0.0311,0.1572,4.5638,3.3535,0.6004,0.2026
WW30D3,58291.94,-178741.02,939.23,4.3869,9.202,0.0266,0.1501,4.7056,3.7255,0.6432,0.1276
WW31D0,60199.04,-181091.61,875.44,4.0251,7.6771,0.0132,0.1201,4.5196,2.4336,0.6888,0.0351
WW31D1,60199.02,-181091.72,875.33,4.0276,10.1037,0.0127,0.1171,5.1297,4.1606,0.7506,0.0627
WW31D2,60198.98,-181091.83,875.3,4.0287,8.4622,0.013,0.119,4.2435,3.443,0.6741,0.1016
WW33D0,59191.11,-179626.22,927.35,4.4353,12.6769,0.0307,0.1585,6.0466,5.6388,0.8033,0.1882
WW33D1,59191.2,-179626.38,927.39,4.2097,8.3244,0.0236,0.1434,4.6945,2.7957,0.7088,0.1254
WW33D2,59191.25,-179626.5,927.25,4.3743,8.2007,0.0321,0.1618,4.5715,2.8404,0.6697,0.1191
WW34D0,59512.74,-180174.06,902.4,3.8739,4.3559,0.0115,0.0955,2.8784,1.056,0.3605,0.061
WW34D1,59512.63,-180174.06,902.52,3.8295,4.4165,0.0127,0.1002,2.7106,1.2753,0.3576,0.0729
WW34D2,59512.51,-180174.08,902.57,3.7063,3.4277,0.0092,0.0853,2.3377,0.7362,0.3075,0.0463
WW35D0,58725.9,-180374.31,788.77,4.0169,8.2868,0.0134,0.131,4.9564,2.5341,0.7516,0.0447
WW35D1,58726.03,-180374.25,788.78,3.9911,7.6748,0.0118,0.1348,4.5066,2.4162,0.7082,0.0438
WW36D0,59587.23,-181436.7,768.56,4.0617,5.8952,0.0145,0.1383,3.4234,1.8465,0.5036,0.1217
WW36D1,59587.14,-181436.8,768.66,4.012,5.6847,0.0128,0.13,3.6398,1.4007,0.5244,0.1199
WW36D2,59587.07,-181436.92,768.68,4.0181,6.7135,0.0242,0.1595,4.0787,1.9516,0.5547,0.1285
WW37D0,60045.93,-181356.33,827.36,4.2027,5.9267,0.015,0.1251,3.6118,1.7827,0.4585,0.0737
WW37D1,60045.94,-181356.34,827.23,4.2629,7.4687,0.0229,0.1385,3.8777,2.9255,0.5553,0.1102
WW37D2,60045.95,-181356.34,827.23,4.2104,5.9741,0.0086,0.1188,4.1451,1.2166,0.5862,0.0262
WW38D0,59348.45,-181660.73,708.03,4.0081,5.0789,0.0206,0.1162,2.6462,1.9447,0.4356,0.0524
WW38D2,59348.22,-181660.8,708.15,4.0832,8.9197,0.0273,0.1231,3.8511,4.4401,0.4827,0.1457
WW40D0,59974.84,-180495.97,921.76,3.8149,3.5907,0.008,0.0958,2.6022,0.6439,0.3156,0.029
WW40D1,59974.87,-180495.91,921.53,3.7542,3.3917,0.0075,0.0935,2.459,0.6128,0.2921,0.0279
WW40D2,59975.03,-180496,921.88,3.7907,3.8507,0.0077,0.0953,2.8031,0.6621,0.3548,0.0307
WW41D0,59067.3,-181534.83,689.88,4.1001,7.0409,0.024,0.1504,4.1684,2.1138,0.6234,0.1353
WW41D1,59067.23,-181534.88,689.68,4.1145,5.9855,0.0111,0.1164,3.8907,1.4442,0.5598,0.0907
WW41D2,59067.12,-181535.02,689.98,4.1559,6.7699,0.0145,0.1234,4.1186,1.9646,0.5878,0.0989
WW42D1,58039.23,-180396.33,703.17,3.5886,4.7899,0.0128,0.081,3.3878,0.9455,0.3987,0.0579
WW42D2,58039.22,-180396.2,703.23,3.5125,2.7469,0.0114,0.0723,2.1561,0.3068,0.2562,0.0279
WW44D0,59424.27,-180777.89,825.7,3.6374,2.6811,0.0151,0.0996,1.5763,0.8603,0.2022,0.0424
WW44D1,59424.02,-180777.92,825.69,3.4884,2.142,0.0071,0.0798,1.426,0.4926,0.1958,0.0275
WW44D2,59423.88,-180777.92,825.57,3.4709,2.2095,0.0068,0.079,1.3112,0.6964,0.1757,0.0262
WW45D0,57555.15,-180284.27,649.2,3.9346,5.9009,0.0363,0.1615,3.0014,2.275,0.4762,0.1483
WW45D1,57555.09,-180284.34,649.18,3.8877,7.2467,0.0366,0.1583,3.7318,2.8392,0.5091,0.1666
WW46D0,57371.68,-180906.7,594,4.1401,7.933,0.0353,0.1722,4.0712,2.9604,0.7853,0.1161
WW46D1,57371.69,-180906.83,593.77,4.1212,8.2414,0.0388,0.187,4.2679,3.0937,0.7283,0.1516
WW46D2,57371.71,-180906.98,593.86,4.165,9.926,0.0443,0.1986,4.9823,3.9779,0.8134,0.1524
WW47D0,57841.36,-181763.08,523.53,3.8143,6.4439,0.014,0.1427,3.7648,2.0338,0.57,0.0754
WW47D1,57841.29,-181763,523.35,3.7726,6.6877,0.0162,0.1446,3.7659,2.3081,0.5303,0.0834
WW48D0,57373.3,-181870.05,426.49,4.1868,8.4648,0.0071,0.1271,4.3276,3.4381,0.6506,0.0485
WW48D2,57373.08,-181869.84,426.38,4.2617,9.3127,0.0079,0.1316,4.9814,3.4999,0.78,0.0515
WW49D0,57274.29,-181404.97,504.55,4.0001,8.3044,0.0152,0.1288,4.4656,2.9994,0.7123,0.127
WW49D1,57274.23,-181404.84,504.19,3.9997,7.7174,0.0133,0.1245,4.1649,2.7773,0.6624,0.1128
WW49D2,57274.3,-181405.05,504.18,3.9787,6.1273,0.0089,0.1114,3.9232,1.559,0.5988,0.0463
WW50D0,57791.95,-180096.33,694.73,4.1684,8.2801,0.0309,0.1597,4.4673,3.052,0.6509,0.11
WW50D2,57791.74,-180096.13,694.73,4.173,7.3027,0.0287,0.1601,4.0347,2.5599,0.5743,0.1338
WW51D0,58321.18,-179533.19,838.98,3.878,7.0359,0.0122,0.1075,3.8262,2.5292,0.5774,0.1031
WW51D1,58321.12,-179533.23,839.02,3.9021,6.2612,0.0111,0.1069,3.4907,2.1359,0.5216,0.113
WW51D2,58321.1,-179533.25,838.83,3.8831,6.0175,0.0134,0.1088,3.2759,2.1477,0.4663,0.1276
WW52D0,58763.45,-179786.14,856.67,4.2289,8.5127,0.0352,0.1855,4.5821,3.082,0.705,0.1435
WW52D1,58763.45,-179786.17,856.37,4.1868,8.0098,0.0232,0.1517,4.5696,2.6372,0.69,0.113
WW52D2,58763.44,-179786.25,856.51,4.2794,9.1707,0.0296,0.1748,4.6988,3.6304,0.6856,0.1559
WW53D0,58391.93,-179895.69,799.63,4.1694,8.9401,0.0279,0.1487,4.6326,3.4053,0.6875,0.2148
WW53D1,58391.96,-179895.66,799.66,4.2163,9.4804,0.0309,0.1589,4.6256,3.9502,0.7305,0.1742
WW53D2,58391.99,-179895.67,799.68,4.2531,9.3493,0.0204,0.1397,4.8717,3.534,0.7674,0.1762
WW54D0,57881.81,-179278.92,822.53,4.0728,6.1039,0.0295,0.1603,3.2216,2.2863,0.4546,0.1414
WW54D1,57881.75,-179278.86,822.61,3.9561,5.8687,0.0279,0.1477,3.0142,2.2511,0.466,0.1373
WW54D2,57881.6,-179278.72,822.59,4.0916,5.9879,0.0261,0.1463,3.4562,1.9094,0.5077,0.1146
WW55D0,57763.27,-179037.25,843.08,4.4502,7.2632,0.0317,0.1661,4.1835,2.2891,0.6745,0.1162
WW55D1,57763.18,-179037.17,843.03,4.5036,8.5923,0.0341,0.1754,4.5474,3.1819,0.7331,0.13
WW55D2,57763.09,-179037.08,843.07,4.5291,8.6843,0.0309,0.1709,4.8014,3.021,0.7322,0.1298
WW56D0,57576.98,-178862.03,850.23,4.202,7.2531,0.0255,0.1517,3.9848,2.5751,0.5759,0.1174
WW56D1,57576.88,-178861.94,849.42,4.1866,8.4746,0.0294,0.175,4.8955,2.7714,0.6963,0.1115
WW56D2,57576.8,-178861.86,850.33,4.1343,6.5728,0.0276,0.1587,3.6216,2.2905,0.5524,0.1083
WW58D0,57793.93,-179594.23,774.21,3.8168,7.5168,0.0148,0.1382,4.7294,1.9683,0.7247,0.0944
WW58D1,57793.97,-179594.13,774.05,3.892,8.4396,0.0165,0.1478,4.9785,2.52,0.7819,0.1593
WW58D2,57793.97,-179594.08,773.97,3.8313,7.4902,0.013,0.1325,4.2633,2.4761,0.6643,0.0865
WW59D0,57295.25,-179397.25,746.56,3.2111,2.201,0.0092,0.0723,1.4963,0.4621,0.2134,0.0292
WW59D1,57295.25,-179397.25,746.31,3.2852,2.447,0.01,0.0797,1.7251,0.4338,0.2619,0.0262
WW59D2,57295.26,-179397.27,746.56,3.2412,1.9458,0.0086,0.07,1.4332,0.2812,0.2051,0.0262
WW66D0,56903.18,-180220.25,619.23,4.0355,9.6171,0.0139,0.1452,4.3895,4.4198,0.5918,0.216
WW66D1,56903.12,-180220.38,618.9,4.0508,5.339,0.0081,0.1202,3.4496,1.3129,0.5458,0.0308
WW66D2,56903.09,-180220.53,619.09,3.9532,7.2109,0.0104,0.1155,3.0879,3.6465,0.4166,0.0599
WW67D0,58036.39,-180070.78,729.32,3.7833,5.1865,0.0108,0.0999,2.9342,1.719,0.4358,0.0975
WW67D1,58036.41,-180070.97,729.15,3.8434,5.4783,0.0111,0.1027,3.0261,1.8566,0.5068,0.0888
WW67D3,58036.5,-180071.25,729.35,3.9208,5.5554,0.0143,0.114,3.3662,1.578,0.511,0.1002
WW68D0,58606.52,-182298.91,491.82,3.7572,8.2626,0.0661,0.2515,3.9388,3.575,0.4627,0.2861
WW68D1,58606.77,-182298.86,491.92,3.7134,4.5731,0.0207,0.1239,2.8199,1.2454,0.3768,0.131
WW68D2,58606.86,-182299.02,491.85,3.754,5.9065,0.033,0.1594,3.2798,2.0452,0.4357,0.1457
WW69D0,57866.83,-180890.41,615.24,4.1295,8.3324,0.008,0.1295,4.2404,3.2712,0.7505,0.0703
WW69D3,57867.09,-180890.77,615.01,4.1562,6.6664,0.0085,0.129,3.9785,1.914,0.7256,0.0483
WW70D0,58077.49,-180926.61,635.28,4.3432,7.7879,0.0317,0.1652,4.1724,2.836,0.6616,0.1179
WW70D1,58077.5,-180926.52,635.01,4.3274,8.7193,0.0358,0.1793,4.4618,3.4191,0.6898,0.1485
WW70D2,58077.25,-180926.14,635.14,4.3142,7.3851,0.0232,0.1493,4.211,2.4005,0.6707,0.1028
WW71D0,58372.93,-181356.64,624.1,3.6328,3.2451,0.005,0.0753,2.5114,0.3872,0.3324,0.0141
WW71D1,58372.32,-181356.59,624.26,3.5765,5.2949,0.0061,0.0773,2.4306,2.4316,0.3339,0.0989
WW73D0,59377.73,-179930.42,909.73,4.1653,6.408,0.0202,0.1437,3.7814,1.9767,0.5667,0.0832
WW73D1,59377.73,-179930.47,909.56,4.1673,6.5494,0.0164,0.1317,3.7642,2.0763,0.6098,0.0991
WW73D2,59377.86,-179930.56,909.42,4.1172,6.2123,0.0165,0.1338,3.6697,1.833,0.621,0.0887
WW74D0,59759.64,-180057.34,942.94,3.8627,6.1962,0.0113,0.1157,3.3731,2.1873,0.5556,0.0802
WW74D1,59759.59,-180057.34,942.77,3.9735,5.2723,0.0102,0.1119,3.0436,1.6902,0.5095,0.029
WW74D2,59759.47,-180057.34,942.62,3.908,5.4648,0.009,0.108,3.3683,1.5193,0.551,0.0262
WW75D0,59333.65,-180446.72,851.04,4.0613,5.5125,0.017,0.1193,3.0477,1.9246,0.4556,0.0847
WW75D1,59333.68,-180446.73,850.78,4.0992,5.8371,0.0151,0.1184,3.5708,1.6552,0.527,0.0841
WW75D2,59333.9,-180446.61,850.8,3.9807,5.3915,0.0151,0.1136,3.0842,1.7718,0.4595,0.0762
WW76D0,58441.11,-180388.55,749.75,3.6415,2.2095,0.0038,0.0878,1.7217,0.238,0.2214,0.0284
WW76D1,58440.9,-180388.56,749.29,3.7734,1.6375,0.004,0.0901,1.3079,0.0946,0.208,0.027
WW76D2,58441.16,-180388.83,749.51,3.697,1.6408,0.0042,0.0881,1.3119,0.115,0.1877,0.0262
WW77D0,59085.97,-180418.17,831.88,4.0678,6.8853,0.015,0.1359,3.8819,2.2789,0.6449,0.0796
WW77D1,59085.79,-180418.03,831.86,4.038,6.8675,0.0164,0.132,3.7511,2.4132,0.6436,0.0596
WW77D2,59085.89,-180417.89,831.65,3.9821,6.4444,0.0111,0.1155,3.4808,2.3149,0.5636,0.0851
WW78D0,59756.02,-180603.06,885.95,4.3096,6.8987,0.016,0.1207,4.929,1.3102,0.5928,0.0668
WW78D2,59758.34,-180602.73,887.31,4.2268,6.5962,0.0293,0.1515,3.6194,2.3279,0.5354,0.1136
WW82D0,59237.76,-180098.84,886.17,4.41,9.8757,0.0283,0.1552,5.502,3.3864,0.8829,0.1044
WW83D0,58041.36,-179810.44,769.7,4.1676,9.0626,0.0289,0.165,4.6237,3.6556,0.6596,0.1237
WW83D1,58041.23,-179810.48,770.16,4.2121,7.9372,0.0338,0.1633,4.1753,3.0246,0.6099,0.1273
WW83D2,58041.16,-179810.52,769.87,4.2941,7.8363,0.015,0.1237,4.2279,2.824,0.6469,0.1375
WW84D0,58179.31,-179762.67,794.16,4.3152,10.2581,0.028,0.1584,4.6166,4.7133,0.7587,0.1696
WW84D1,58179.19,-179762.55,794.08,4.3011,8.5721,0.0297,0.1637,4.312,3.4226,0.6834,0.1542
