BHID,X,Y,Z,DENSITY,PGE,CU,NI,PT,PD,RH,AU
WC9D2,60479.81,-184570.56,395.18,3.9383,4.907,0.0162,0.0707,2.9702,1.4462,0.4244,0.0662
WQ005D0,60332.27,-179274.3,1085.61,3.68,6.717,0.0063,0.0981,3.5871,2.4852,0.5448,0.0999
WQ006D0,60597.63,-179601.17,1081.96,3.88,6.5999,0.0036,0.0899,3.5332,2.4322,0.5364,0.098
WQ007D0,59753.22,-178788.94,1087,3.955,6.7143,0.0269,0.1591,3.5315,2.5446,0.5372,0.101
WQ008D0,60038.87,-179062.53,1079.38,3.8014,9.2892,0.0289,0.1651,4.7259,3.699,0.7228,0.1416
WQ011D0,61043.02,-180054.98,1088.32,3.94,7.9693,0.0137,0.1198,4.1637,3.0515,0.6344,0.1198
WQ012D0,60903.8,-180210.89,1054.41,3.71,14.875,0.0309,0.171,7.3426,6.1744,1.1285,0.2296
WQ014D0,58984.22,-178438.73,1049.61,3.9479,5.6695,0.0219,0.1443,3.0682,2.051,0.4652,0.0851
WQ015D0,59153.21,-178557.38,1057.75,3.7037,10.7296,0.0388,0.1945,5.387,4.3506,0.8261,0.166
WQ016D0,59561.3,-178702.95,1078.4,3.66,4.9964,0.0116,0.1136,2.795,1.7072,0.4217,0.0725
WQ017D0,59866.67,-178960.53,1076.64,3.94,10.3336,0.0323,0.1751,5.2521,4.1207,0.8036,0.1574
WQ018D0,58805.86,-178351.77,1047.71,3.73,6.3307,0.0021,0.0855,3.4093,2.3105,0.5172,0.0937
WQ019D0,60863.16,-179961.58,1073.3,3.6901,7.5786,0.0174,0.131,3.9837,2.8749,0.6064,0.1136
WQ022D0,60606.48,-180231.7,1020.59,4.0799,5.0669,0.0075,0.113,3.3282,1.201,0.4849,0.0527
WQ023D0,60610.57,-179846.08,1054.28,4.3064,11.883,0.0307,0.1959,5.2935,5.4097,0.8167,0.3631
WQ024D0,60378.95,-180113.53,1005.74,4.0516,4.8435,0.0135,0.1157,3.2985,1.0328,0.4791,0.0332
WQ025D0,60377.17,-179771.59,1041.26,4.1496,7.6756,0.0069,0.1074,3.6584,3.3253,0.539,0.1529
WQ027D0,59738.88,-179960.84,947.98,3.9895,7.1898,0.0129,0.1333,3.5945,2.953,0.451,0.1914
WQ028D0,59852.71,-179291.48,1034.88,4.3454,7.1477,0.0263,0.1634,4.0251,2.4158,0.5488,0.158
WQ029D0,59624.12,-179538.17,984.06,4.1174,7.3254,0.0646,0.2084,3.6389,2.9706,0.4661,0.2498
WQ031D0,59181.16,-179119.41,985.48,4.0263,5.4596,0.0081,0.1018,3.5169,1.3599,0.539,0.0438
WQ032D0,59254.22,-178823.31,1027.01,4.0264,6.1349,0.0083,0.1123,3.8786,1.6377,0.5586,0.06
WQ033D0,58837.01,-178912.95,972.89,4.1263,5.6147,0.0248,0.1104,3.3267,1.7091,0.4885,0.0905
WQ034D0,58538.34,-178640.86,978.56,3.9719,5.5701,0.0053,0.0975,3.5277,1.4876,0.5097,0.0451
WQ035D0,58275.39,-178408.91,981.13,3.984,5.6957,0.0074,0.1036,3.4726,1.6714,0.5089,0.0429
WQ036D0,58268.19,-178135.47,1015.74,3.6665,2.3594,0.0057,0.0869,1.7708,0.317,0.2442,0.0274
WQ039D0,58739.75,-178728.75,988.66,4.0629,7.4129,0.0197,0.1432,3.993,2.7007,0.6225,0.0966
WQ040D0,60356.68,-179556.77,1059.43,4.1125,6.4779,0.0063,0.1205,3.8614,2.0062,0.5774,0.0329
WQ041D0,60082.35,-179330.42,1053.12,4.4329,7.2646,0.0282,0.1621,3.8751,2.6382,0.6092,0.142
WQ042D0,58998.3,-178755.38,1011.82,4.0289,6.5356,0.0214,0.1222,3.5631,2.2911,0.5051,0.1763
WQ052D0,58425.19,-178328.55,1007.93,3.7608,7.0424,0.011,0.1119,3.519,2.8573,0.5143,0.1519
WQ502D0,58779.08,-178487.89,1023.92,3.9275,5.7136,0.0067,0.105,3.6377,1.5064,0.5202,0.0493
WQ502D1,58778.96,-178487.78,1023.91,3.8574,5.2543,0.0066,0.1042,3.5881,1.0822,0.5441,0.0399
WQ502D2,58778.88,-178487.7,1024.05,3.8702,6.5139,0.0171,0.1389,3.5339,2.3646,0.5088,0.1066
WQ503D0,58840.29,-178616.91,1016,3.8816,5.7795,0.0303,0.1579,3.1635,2.0104,0.4752,0.1305
WQ503D1,58840.18,-178616.8,1015.82,3.9062,5.051,0.0132,0.1174,3.1528,1.3576,0.4585,0.0821
WQ503D2,58840.09,-178616.7,1015.87,3.8601,4.5064,0.0186,0.1293,2.7275,1.2169,0.483,0.0792
WQ506D0,60513.71,-179608.69,1069.26,3.9608,4.9231,0.0033,0.0872,3.3887,1.1191,0.4023,0.0131
WQ508D0,59705,-179743.77,968.42,4.0277,6.5456,0.0069,0.107,3.9643,2.002,0.4571,0.1223
WQ508D1,59706.79,-179742.05,968.99,3.9549,5.163,0.0048,0.096,3.741,0.9261,0.4513,0.0446
WQ509D0,59721.04,-179387.27,1010.66,4.0276,5.6392,0.0092,0.1026,3.5693,1.5642,0.4071,0.0986
WQ509D1,59721.08,-179387.28,1010.1,4.0276,5.5449,0.0064,0.0843,3.4756,1.6378,0.3703,0.0612
WQ509D2,59721.12,-179387.23,1010.46,4.0276,6.9815,0.01,0.1037,3.9526,2.4924,0.4258,0.1107
WQ510D0,60118.76,-179806.41,1007.53,4.0276,5.0471,0.0035,0.1005,3.3849,1.2756,0.3729,0.0137
WQ510D1,60118.66,-179806.31,1007.74,3.9952,5.3734,0.0045,0.0969,3.8528,1.096,0.4078,0.0169
WQ510D2,60118.57,-179806.22,1007.63,3.9755,5.947,0.0045,0.1031,3.7582,1.75,0.4006,0.0383
WQ513D0,60217.62,-179924.36,1005.52,3.9743,5.0759,0.004,0.1013,3.64,1.009,0.4076,0.0193
WQ513D1,60217.52,-179924.27,1005.71,4.0264,6.0506,0.0038,0.09,4.0151,1.5752,0.4318,0.0285
WQ513D2,60217.43,-179924.19,1005.71,3.9012,5.2359,0.0033,0.0998,3.7575,1.0148,0.4235,0.04
WQ527D0,59982.96,-179709.25,1005.8,4.0028,5.3041,0.0062,0.1011,3.5438,1.213,0.5172,0.0301
WQ529D0,59951.36,-179998.89,967.06,3.7103,3.8347,0.0054,0.0698,2.6699,0.7602,0.3725,0.0322
WQ530D0,59999.5,-179414.89,1038.86,4.0135,3.981,0.0047,0.1143,2.6526,0.9073,0.3949,0.0262
